# Sod Problem Data
# Designed for a Shock propagating in the dir1 direction.
# Number of zones in direction of interest=100
# Output Time(s)=2.0000000000e-05
#Position_dir1(m)	 Pressure(Pa)	 MassDensity(kg/m^3)	 Temperature(K)	 Veclocity_dir1(m/s)
6.1500000000e-01	3.0320725311e+10	4.0213810209e+02	6.9877121955e+04	9.2773196650e+03
6.2500000000e-01	3.0309032941e+10	3.9582770522e+02	7.0963746923e+04	9.2806491673e+03
6.3500000000e-01	3.0304934039e+10	3.8798272589e+02	7.2388837174e+04	9.2822164589e+03
6.4500000000e-01	3.0304767443e+10	3.7857986809e+02	7.4186364204e+04	9.2828941443e+03
6.5500000000e-01	3.0306493913e+10	3.6779506446e+02	7.6366071011e+04	9.2831713002e+03
6.6500000000e-01	3.0309061956e+10	3.5598545630e+02	7.8906156111e+04	9.2833046613e+03
6.7500000000e-01	3.0311977755e+10	3.4363547389e+02	8.1749843629e+04	9.2834221667e+03
6.8500000000e-01	3.0315040756e+10	3.3128185740e+02	8.4806892732e+04	9.2835860258e+03
6.9500000000e-01	3.0318191043e+10	3.1943741743e+02	8.7960592571e+04	9.2838265311e+03
7.0500000000e-01	3.0321421113e+10	3.0853011465e+02	9.1079919640e+04	9.2841565921e+03
7.1500000000e-01	3.0324713903e+10	2.9886611011e+02	9.4035251064e+04	9.2845727381e+03
7.2500000000e-01	3.0327971069e+10	2.9061733520e+02	9.6714699811e+04	9.2850423954e+03
7.3500000000e-01	3.0330909316e+10	2.8382886305e+02	9.9037466108e+04	9.2854763081e+03
7.4500000000e-01	3.0333012127e+10	2.7843996724e+02	1.0096122514e+05	9.2857141553e+03
7.5500000000e-01	3.0333972011e+10	2.7431509631e+02	1.0248262013e+05	9.2856538817e+03
7.6500000000e-01	3.0335586113e+10	2.7128539244e+02	1.0363265583e+05	9.2858146067e+03
7.7500000000e-01	3.0345719543e+10	2.6920047803e+02	1.0447016009e+05	9.2885217521e+03
7.8500000000e-01	3.0380580379e+10	2.6796432504e+02	1.0507266186e+05	9.2985928965e+03
7.9500000000e-01	3.0448989197e+10	2.6745240589e+02	1.0551082489e+05	9.3186474796e+03
8.0500000000e-01	3.0486885818e+10	2.6711265450e+02	1.0577651351e+05	9.3296793845e+03
8.1500000000e-01	3.0232756183e+10	2.6518525452e+02	1.0565718050e+05	9.2539720473e+03
8.2500000000e-01	2.9157894312e+10	2.5821221900e+02	1.0465259815e+05	8.9282962710e+03
8.3500000000e-01	2.6697259425e+10	2.4235893121e+02	1.0208884734e+05	8.1416929542e+03
8.4500000000e-01	2.2814479102e+10	2.1693984390e+02	9.7463472654e+04	6.7594957537e+03
8.5500000000e-01	1.8349609413e+10	1.8690009780e+02	9.0988801166e+04	4.8877952725e+03
8.6500000000e-01	1.4541122983e+10	1.6021169736e+02	8.4115178953e+04	2.9521342135e+03
8.7500000000e-01	1.2093140603e+10	1.4205757582e+02	7.8894249695e+04	1.4711461699e+03
8.8500000000e-01	1.0856816381e+10	1.3227783549e+02	7.6065208535e+04	6.2858900102e+02
8.9500000000e-01	1.0328197348e+10	1.2786154970e+02	7.4860928802e+04	2.4530660988e+02
9.0500000000e-01	1.0121800025e+10	1.2607634301e+02	7.4403745209e+04	9.1692331914e+01
9.1500000000e-01	1.0044534037e+10	1.2539594906e+02	7.4236405488e+04	3.3614179464e+01
9.2500000000e-01	1.0016147783e+10	1.2514393639e+02	7.4175683930e+04	1.2199983827e+01
9.3500000000e-01	1.0005818348e+10	1.2505191619e+02	7.4153714502e+04	4.3974008427e+00
9.4500000000e-01	1.0002083840e+10	1.2501860120e+02	7.4145790967e+04	1.5751113420e+00
9.5500000000e-01	1.0000741535e+10	1.2500662025e+02	7.4142945775e+04	5.6048734345e-01
9.6500000000e-01	1.0000262067e+10	1.2500233981e+02	7.4141929868e+04	1.9795840509e-01
9.7500000000e-01	1.0000092112e+10	1.2500082243e+02	7.4141569818e+04	6.9192192828e-02
9.8500000000e-01	1.0000032778e+10	1.2500029266e+02	7.4141444124e+04	2.3458319212e-02
9.9500000000e-01	1.0000015306e+10	1.2500013666e+02	7.4141407112e+04	7.6414755712e-03
